orig_id,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,negate,affect,posemo,negemo,anx,anger,sad,insight,feel,power,money,swear
2,239,49.99,9.74,98.6,95.06,19.92,17.57,0.84,5.44,5.02,0.42,0,0,0,4.18,0,3.35,0.84,0
3,238,71.36,20.05,83.69,57.55,23.8,18.91,1.26,5.04,3.36,1.68,0,0,0.84,0,0,2.52,4.62,0
5,198,53.74,11.29,97.04,1,28.29,14.14,1.52,9.09,2.53,6.57,2.02,1.01,0.51,0.51,0.51,3.54,0,0.51
6,217,71.75,10.69,99,9,24.11,14.29,0.92,2.3,0.46,1.84,0.46,0,0,4.61,0.92,1.38,1.38,0
7,202,19.24,6.26,99,98.07,15.54,15.84,3.96,7.43,6.44,0.99,0.5,0.5,0,2.97,0.5,2.48,0,0
8,229,56.13,82.05,38.28,9.61,16.36,13.97,1.75,7.42,3.06,4.37,1.75,2.18,0.44,1.31,0,0.44,1.75,0.44
9,192,63.62,8.79,97.51,92.4,16,18.23,1.04,8.33,6.25,2.08,0,0.52,1.04,1.56,0.52,6.77,0.52,0.52
10,203,75.51,40.27,97.69,12.66,13.53,31.03,0.49,1.97,0.49,1.48,0.49,0.49,0.49,9.85,0,2.46,0.49,0
11,204,79.78,36.57,44.03,71.75,18.55,20.59,1.47,6.37,4.41,1.96,0,0.49,0,2.45,0,3.43,0.98,0
12,198,57.99,9.47,99,7.96,11.65,22.22,0.51,4.55,1.52,3.03,0,0.51,0,3.54,2.02,3.03,0.51,0
13,219,17.12,44.56,35.19,68.84,31.29,11.87,4.11,5.02,3.65,1.37,0,0,0,4.11,0,0.46,0,0
14,203,91.83,23,99,71.95,22.56,15.27,0.99,2.46,2.46,0,0,0,0,0.99,0.99,2.46,0,0
15,250,78.19,37.44,79.76,98.35,20.83,25.6,0.8,5.6,5.6,0,0,0,0,2,0,4,0.4,0
16,256,80.23,69.42,55.79,99,32,17.19,0,7.42,7.42,0,0,0,0,0.39,0,3.12,0.39,0
17,268,63.5,89.76,44.37,68.05,20.62,14.55,2.99,4.48,3.36,1.12,0,0.37,0,3.73,0.37,3.73,0.37,0
18,224,49.9,90.97,14.8,94.3,24.89,8.93,1.34,7.14,5.8,1.34,0,0,0,2.23,0,2.68,0,0
