orig_id,Agreeableness,Analytical,Anger,Confident,Conscientiousness,Disgust,Emotional Range,Extraversion,Fear,Joy,Openness,Sadness,Tentative
2,0.557195,0.60935,0.091799,0,0.467149,0.061106,0.224177,0.044092,0.10742,0.661277,0.557227,0.188468,0.769102
3,0.278806,0.490783,0.126491,0,0.351968,0.112932,0.305823,0.192944,0.118139,0.617057,0.182746,0.469585,0.829444
5,0.227725,0.338287,0.103668,0,0.024111,0.505433,0.006097,0.003053,0.761185,0.427909,0.418886,0.180604,0.135971
6,0.057838,0.866758,0.091843,0,0.018749,0.05813,0.196283,0.035103,0.134139,0.517665,0.156162,0.537669,0.792685
7,0.581772,0.633347,0.106247,0,0.03916,0.043947,0.038012,0.000382,0.100505,0.647248,0.189597,0.529786,0.079227
8,0.814962,0.002771,0.623301,0,0.692076,0.089629,0.610062,0.81392,0.160568,0.675075,0.220933,0.159178,0.000947
9,0.436877,0.359595,0.094222,0,0.04161,0.049971,0.123617,0.001106,0.111591,0.638795,0.137954,0.611721,0.680891
10,0.081118,0.928037,0.116239,0,0.243966,0.066444,0.110392,0.001564,0.44774,0.516092,0.784357,0.220529,0.510004
11,0.535267,0.627222,0.092114,0.592273,0.269807,0.072093,0.107802,0.165962,0.103824,0.626031,0.454952,0.231084,0
12,0.412543,0.216583,0.61346,0.080288,0.007811,0.055739,0.03229,0.000147,0.170898,0.599797,0.056651,0.624289,0
13,0.705112,0.480756,0.212987,0,0.330834,0.21605,0.415233,0.181291,0.140059,0.589826,0.662575,0.246097,0.67836
14,0.039368,0.301113,0.110375,0,0.163763,0.096406,0.509959,0.078282,0.118402,0.682215,0.241851,0.528188,0.586281
15,0.684091,0.626668,0.071945,0,0.72396,0.062475,0.527736,0.4115,0.091705,0.710522,0.407045,0.100039,0.761129
16,0.654577,1.30E-05,0.027728,0,0.630552,0.065716,0.498005,0.607193,0.041931,0.791462,0.319169,0.184625,0.381467
17,0.164737,0.312169,0.146438,0,0.800511,0.124406,0.480948,0.07787,0.076658,0.583704,0.615588,0.518252,0.397794
18,0.971533,0.474614,0.113553,0,0.791161,0.15157,0.603752,0.373346,0.148889,0.670889,0.718366,0.191376,0.789226
19,0.106594,0.928529,0.104825,0,0.213029,0.129402,0.589463,0.252482,0.075483,0.58803,0.3244,0.465619,0.451098
20,0.88215,0.216362,0.192149,0,0.001373,0.484281,0.175814,0.00771,0.568459,0.123932,0.702758,0.511206,0.808779
21,0.216903,0.431784,0.073209,0,0.020689,0.079027,0.046314,0.107582,0.095371,0.631189,0.557729,0.53355,0.616216
22,0.573958,0.586983,0.087335,0.682712,0.31177,0.090631,0.113899,0.023921,0.665785,0.655566,0.259214,0.486581,0
25,0.569426,0.881141,0.099474,0,0.703432,0.067739,0.416139,0.237781,0.101624,0.552206,0.85943,0.452734,0.498507
26,0.456048,0.000853,0.079369,0,0.372935,0.105282,0.615605,0.37676,0.548078,0.683527,0.454989,0.136724,0.336558
27,0.357497,0.178703,0.091667,0,0.199978,0.003943,0.011774,5.50E-05,0.326979,0.077594,0.110298,0.721223,0.234226
28,0.177311,0.579094,0.074164,0,0.062257,0.12001,0.159937,0.290135,0.054932,0.67076,0.657548,0.467012,0.755842
29,0.513216,0.305705,0.10895,0.190497,0.845596,0.080808,0.764204,0.212477,0.087425,0.618536,0.22782,0.266332,0
30,0.706515,0.44674,0.506962,0,0.548364,0.122032,0.645366,0.052663,0.572592,0.534506,0.478795,0.546582,0.421495
31,0.029002,0.220502,0.141861,0,0.057504,0.104742,0.613879,0.0837,0.089813,0.653263,0.215511,0.558246,0.417515
32,0.367505,0.841636,0.051981,0,0.457874,0.126139,0.287687,0.324957,0.111743,0.683927,0.686667,0.471151,0.700669
33,0.861203,0.538505,0.100565,0,0.081448,0.089988,0.194327,0.044918,0.085957,0.632072,0.701922,0.591264,0.724578
34,0.565578,0.472718,0.146512,0.577118,0.91743,0.459286,0.901055,0.518084,0.120147,0.540482,0.632676,0.17688,0
35,0.57451,0.224043,0.113998,0,0.360352,0.065976,0.197809,0.040629,0.111711,0.629509,0.073255,0.55591,0.62398
36,0.225619,0.87732,0.125177,0.692051,0.030384,0.058546,0.004991,0.000191,0.133379,0.640807,0.041579,0.54537,0
37,0.098548,0.744747,0.732842,0,0.775046,0.680389,0.478383,0.03254,0.095651,0.593965,0.719882,0.719264,0.772653
38,0.808438,0.683982,0.575772,0,0.849077,0.064093,0.664081,0.376774,0.061306,0.656792,0.232158,0.543713,0.686656
39,0.021157,0.593626,0.076573,0,0.33344,0.060146,0.360663,0.037025,0.140232,0.611844,0.422884,0.489896,0.705917
40,0.221768,0.751264,0.517597,0,0.655696,0.131287,0.626948,0.282797,0.585073,0.496606,0.873017,0.599593,0.900163
41,0.684888,0.268651,0.49383,0,0.006429,0.100381,0.108922,0.000183,0.413927,0.570444,0.164454,0.620616,0.610099
42,0.256863,0.140803,0.109605,0,0.196739,0.067669,0.395786,0.227208,0.107205,0.699186,0.246734,0.504519,2.00E-06
43,0.943465,0.467645,0.108632,0,0.41682,0.074109,0.2446,0.387387,0.13607,0.585511,0.386847,0.533902,0.778358
44,0.117129,0.470402,0.104024,0,0.486111,0.115601,0.800535,0.487507,0.063144,0.678529,0.558582,0.571214,0.766726
45,0.293391,0.923851,0.157443,0,0.432522,0.085943,0.395678,0.045197,0.119815,0.627536,0.805998,0.214174,0.942542
46,0.50647,0.703189,0.084713,0,0.208586,0.465789,0.328976,0.633648,0.089785,0.648143,0.606696,0.490382,0
47,0.004228,0.881343,0.080425,0,0.056875,0.071168,0.579641,0.14748,0.074273,0.651972,0.626777,0.167355,0.870487
48,0.003446,0.152546,0.149763,0,0.000981,0.112101,0.166315,0.00507,0.135728,0.520717,0.593089,0.557537,0.468797
49,0.455873,0.650381,0.127274,0,0.461012,0.073107,0.406327,0.231936,0.110401,0.65961,0.439664,0.440618,0.709301
50,0.479565,0.17679,0.09397,0,0.18019,0.099422,0.368593,0.326229,0.092717,0.654729,0.250988,0.513705,0.115106
51,0.108364,0.406622,0.095838,0.798592,0.493921,0.087054,0.841276,0.050171,0.558909,0.61268,0.645152,0.454639,0
52,0.020386,0.629693,0.153075,0,0.192143,0.096855,0.47724,0.145343,0.110873,0.626635,0.730738,0.628537,0.581311
53,0.530791,0.326661,0.126083,0,0.018943,0.113714,0.224139,0.341031,0.58166,0.527254,0.361044,0.524444,0.641584
54,0.284292,0.701599,0.113429,0,0.567129,0.084563,0.632391,0.296147,0.116448,0.573879,0.469045,0.497229,0.48348
55,0.452741,0.513528,0.628695,0,0.001039,0.147053,0.221441,0.124831,0.158246,0.586469,0.799331,0.566318,8.00E-05
56,0.253057,0.176735,0.146096,0,0.214357,0.064292,0.597657,0.480305,0.174395,0.640375,0.622622,0.212015,0.743999
57,0.896612,0.366994,0.064773,0.768012,0.132543,0.04004,0.267534,0.919298,0.085221,0.691248,0.595968,0.107467,0
58,0.872584,0.582327,0.09393,0.802229,0.743698,0.081203,0.705489,0.503746,0.477572,0.621491,0.753074,0.191041,0
59,0.319163,0.642049,0.12703,0,0.183167,0.471889,0.065422,0.004884,0.089411,0.555711,0.473981,0.554738,0.512966
60,0.350543,0.245418,0.100016,0,0.805547,0.079303,0.71904,0.369955,0.130751,0.718017,0.237099,0.488842,0.312988
61,0.408345,0.036882,0.112317,0,0.335467,0.053169,0.702642,0.493922,0.63953,0.657893,0.600302,0.156488,0.095903
62,0.092217,0.779599,0.534822,0,0.055881,0.251372,0.012501,0.075242,0.070016,0.492892,0.927343,0.626312,0.689967
63,0.237071,0.056443,0.066141,0,0.001661,0.04208,0.008036,0.025689,0.0689,0.653427,0.78343,0.586934,0.920176
64,0.876306,0.557163,0.10102,0,0.067788,0.097144,0.247411,0.045208,0.162067,0.585585,0.101275,0.630766,0.291072
65,0.356406,0.490841,0.14564,0,0.027643,0.163907,0.321931,0.067823,0.184589,0.514176,0.176716,0.540965,0.002145
66,0.303608,0.908757,0.548709,0,0.479627,0.088764,0.273692,0.073326,0.088155,0.647611,0.898536,0.517757,0.720168
67,0.667903,0.280846,0.156422,0,0.793233,0.063929,0.8699,0.319443,0.127286,0.618978,0.25262,0.237549,0.620072
68,0.128242,0.617558,0.086169,0,0.193083,0.116527,0.488541,0.10614,0.128898,0.548798,0.506417,0.553764,0.93633
