orig_id,gender,age,text,box,chicken,door
2,Female,25,"I am a student in the Technion, in my free time I like running swimming playing tennis I also like to cook to my family and friends.

I really like my studies and it interests me very much.

While studying I work in a student position in one of the big corporates which is quite good for me.

I am planning to take a big vacation in the summer with my boyfriend and celebrate the end of the first year of studies.

I am also planning to continue to B.Sc. and I hope that I would like the research idea.

When I started learning I didn't suppose I would like it so much but I guess the part of it is that I figured out I am not that bad at it.

In the army I was a CAD developer and I really like that job.

All my friends that served with me in the army learned mechanical Engineering. When finishing the service in the army.

But although it was very interesting I figured out that the best option for me is to learn some degree that involves math and also talking to people and that's why I learned IE.

I hope I will found out that my choices in that period in life will be good and I think that they are.

In 10 years from now I see myself working as a investigator in some office.",The Left box,Speed!,Door C
3,Male,21,"One of my main passions in life is travelling. I try to travel as often as possible and for how long as possible. My method of action involves flying with low cost airlines (namely Wizz-air) and staying in hostel, which is basically the cheapest accommodation available. My top three favorite activities during my trips abroad is walking around the city and admiring the architecture, socializing with other people in the hostel and visiting various parks and nature reserves.



In the span of a year and a half, I managed to visit most of Europe and spent almost third of my time abroad. Of course paying for all of those trips isn't easy at all, however cheap they may be. I spend on average 15000 NIS a year on travelling, most of this sum comes from various scholarships I get from the Technion, some just involves getting good grades and others may involve voluntary work, but it pays the bills so I can't complain.



Unfortunately, I may have to put this hobby behind for the time being. As I'm currently searching for a job (a part time one, but nonetheless), and I probably wouldn't be able to take much time off, let alone depart on two months trips abroad. However, a real salary would hopefully allow me to pursue other interests besides travelling, and when I'll finally have enough time for travelling, I'll have the funds as well!",The Left box,Speed!,Door B
5,Female,25,"I have an interesting dream that repeats itself over and over again: I am hanging out with my best friend and eating cookie dough chocolate in my childhood room and suddenly there is a huge snake that appears from nowhere. 

My best friend is terrified, but I find the courage to fight the gigantic creature and I chop the head of it with a butcher's knife. 

Unfortunately, the snake grows two additional heads, and each time I try to cut it's heads off the number of heads grow exponentially. 

In the end the room can not handle the huge snake and it bites us and then I wake up each time terrified covered in cold sweat. 

It really freaks me out because I hate reptiles, and it disgusts me even in my nightmares. 

I have this dream ever since I am 8 years old and started to sleep alone in my room, not able to fall asleep afterwards afraid that this snake will come and get me for real each time.

I really hope that one day I will be able to overcome this fear from dark and disgusting creatures and that this dream will leave me forever.",The Left box,Speed!,Door B
6,Male,25,"I am now almost graduating in the faculty of IE&M and I ponder about the next steps in my life/career. I think about moving from Haifa because of the distance from my family and friends and my girlfriend's family too. We finish a semester a part from each other technically but I am actually finishing at the end of July as my last semester in the winter will have only 7 pts. Currently my hourly wage is less than half of my possible wage as a fresh graduate but I feel I am learning a lot every day; a fact which makes it difficult to get up and leave. I suppose I can try to find another job in August and make there a lot more money for a whole year but the problem is where? Finding a full-time job in Haifa for just a year is awkward and not something I'd wish to do if I have a choice. On the other hand, finding a job near the center is possible but the disadvantages are the drive to the center and back to Haifa everyday plus I am not quite sure I'll learn as much there as I'm learning in my current position as a student. What should I do? Time is ticking... ",The Right box,Speed!,Door C
7,Female,24,"I would like to share an issue that has been bothering me lately.

Not certain if I will be understood, but I will try; 

I have lived in a Kibbutz my whole life. I always enjoyed it.

Growing up in a sharing community and always being around kids my age. volunteer when ever you can, be nice, be fair. 

Now I study in the Technion, but I am almost the only one from my Kibbutz who went to university. 

Now I think my Kibbutz is a bubble. No motivation, nor aspiration to success. My whole life I felt lucky living where I have lived. Not anymore.

Here, in the Technion I realized I have no advantage, and probably I will have to struggle more than my fellow city students. For them It is normal to study in university, while in my place every one stares and thinks its odd that I am not going away to travel for a couple of years. 

(for example, is school, children how have done home-word where never popular)  

Nevertheless, I won't stop, hopefully I will finish my degree and start a different life, in which achievements and goals will have a great deal in them.

 ",The Left box,Stop!,Door A
8,Male,28,"Funny quotes from routine day work:



Customer: ""So your name is <PERSONNAME28-1>""

<PERSONNAME28-1>: ""Yes, it means almond in Hebrew""

Customer: ""Wow great, that's one of my favorite nuts. I eat them every day""





<PERSONNAME28-2> in a middle of a conversation with a customer makes a publicity campaign for ""Tzuk Eitan"" operation:

"" if you'll look at the newspapers you will see that they are not always true""







<PERSONNAME28-3>: ""I'm sorry if you are hearing any snorings, it's my dog""

<PERSONNAME28-4>: ""sure, blame the dog""





<PERSONNAME28-5>: ""<PERSONNAME28-6>, If you peel a tangerine for me I will married you!""

<PERSONNAME28-6>: ""....""

<PERSONNAME28-5>:"" If you do not peel tangerine  for me I will married you!""





<PERSONNAME28-7>: ""What is this music?!?""

<PERSONNAME28-8>: ""This is a playlist of YouTube""

<PERSONNAME28-7>: ""Is it a playlist? try gay list ?!""





<PERSONNAME28-9> replaces the <PERSONNAME28-1> after night:

<PERSONNAME28-9>: Well then we'll meet tomorrow afternoon shift

<PERSONNAME28-1>: You mean another two days!

<PERSONNAME28-9>: No, it's tomorrow, after the night shift. Sleep and it will be tomorrow.





<PERSONNAME28-10>: I never understood the part of the cigarette after sex but that one after a session with a client. It just right.





A customer asks <PERSONNAME28-9> After an hour they talk on the phone: So what does your product do?





<PERSONNAME28-11>: ""This <PERSONNAME28-12>, he is a liar, son of  liar, liar his whole family""

* A second later *

<PERSONNAME28-11>: ""Oh shit That includes me too""",The Left box,Stop!,Door B
9,Male,19,"At the age of 4, I started practicing Wushu, more known as Kung-Fu.

Soon enough I reached the national team, training more and more and flying to more international championships. When I was 10, my coach (who actually saw a lot of potential in me, and liked me) decided to take me to the world championships. I trained really hard, twice a day - each time for 3 hours, 6 or 7 days a week, and everything was going really well. Unfortunately, about a month before the championships, I was hospitalized since I had some infection in my leg. I spent 3 days at the hospital, obviously without training, and therefore was extremely close to missing the competition. Luckily, I  was able to restore my skills and flew to Shaolin Temple in China, where the competition was held. Eventually I won 2 gold medals, and became a world champion at the age of 10 (My coach wasn't very pleased though). Anyway, he later gave me some sort of extremely important papers which I lost. Twice. And that's the story of why my coach hated my though I was a world champion. yay.",The Left box,Speed!,Door B
10,Male,24,"When I was 19 years old I decided to study philosophy. I had a huge number of questions about the universe, the truth knowledge, the science, the moral, etc., and I was anxious to know their answers. I began studying in university. First I studied historical subjects, like ""History of ancient philosophy"" or general topics as ""Methodologies in scientific investigation"".  The questions I had kept without answer. Many of them became nonsense. So the first thing I learned was to formulate meaningful questions.

Then I studied particular subjects as ""Logics"", ""Metaphysics"" and ""Epistemology"". These subjects opened my eyes to hundred of new questions. 

It was at that time when I first heard about ""quantum physics"". I remember when in one of the first lessons of ""Metaphysics"", during an open discussion between a student and the teacher, the second told him:

""That statement you've said contradicts the whole theory of quantum mechanics that the today's scientific community believes in it"".

The student asked why?

""To understand that you will have to study a physics degree first, thought it is a extremely complicated field"".

The student was I, and so I did. I abandoned temporarily the philosophy to study physics, which I am studying now.",The Left box,Speed!,Door C
11,Male,30,"I would like to write about my studies in a header Yeshiva. In high school it became quite apparent to  me that I wish to continue my religious studies in  a serious way, beyond high school, and wanting to serve in the military as well,  hesder seemed the natural option.

Choosing a yeshiva is difficult for some, but for me was quite simple. One of the rabbis from the yeshiva came to introduce the yeshiva to us 12-th graders, and I was very impressed with him. The impression he left on me convinced me to visit the yeshiva and see what it was like. I enjoyed it very much and decided to spend the next few years of my life in that yeshiva.

Life in yeshiva was very different than high school. Studying torah is given the utmost importance, and you are called upon to take it seriously. However, no exams are held and there is no roll call, and one must exercise considerable discipline in order to not abuse this freedom. For me, this helped build a ability to seat and study for hours on end. Also, it bolstered self-confidence and self-worth, because studying torah is a very important undertaking!",The Left box,Speed!,Door A
12,Female,21,"As I remember myself, I always loved sports. In the high school I started to take karate lessons, and shortly I began running. I loved running in the grounds near my parents house. After the graduating I moved out and was obliged to run in the city streets. One evening, during my running I had a car accident - it hit me in my leg. I spent 3 months in the rehabilitation center, learning to walk again. I was mostly in the wheelchair, and sometimes with crutches, but when I walked with them the pain was so unbearable I thought give up walking at all. I did a little progress, but it felt like I would have a lot of disabilities in future. My doctors said I would never do karate again. I disbelieved him and started training again. It was painful, it was saddening, I had to start it all over. The physical pain was imperceptible to emotional. The progress was frustrating. I almost started to believe my doctors' words. But I insisted and keep training. This year I won a bronze medal on a competition. I proved myself that I can overcome all injury, physical and emotional.  ",The Left box,Stop!,Door C
